Title,Year,Score,Rank,Category,Decade
Equilibrium,2002,40,140,Rotten,2000
Bad Boys,1995,43,139,Rotten,1990
Road House,1989,44,138,Rotten,1980
National Treasure,2004,46,137,Rotten,2000
Bloodsport,1988,48,136,Rotten,1980
Hardcore Henry,2015,51,135,Rotten,2010
The Protector,2005,53,134,Rotten,2000
Con Air,1997,58,131,Rotten,1990
Top Gun,1986,58,131,Rotten,1980
Blade,1998,58,131,Rotten,1990
Die Hard With a Vengeance,1995,59,130,Rotten,1990
Mr. & Mrs. Smith,2005,60,128,Fresh,2000
Taken,2008,60,128,Fresh,2000
The Equalizer,2014,61,126,Fresh,2010
300,2006,61,126,Fresh,2000
Crank,2006,62,123,Fresh,2000
Rush Hour,1998,62,123,Fresh,1990
The Mummy,1999,62,123,Fresh,1990
Running Scared,1986,63,121,Fresh,1980
Demolition Man,1993,63,121,Fresh,1990
The Rock,1996,67,117,Fresh,1990
The Running Man,1987,67,117,Fresh,1980
Shoot 'Em Up,2007,67,117,Fresh,2000
Commando,1985,67,117,Fresh,1980
The Long Kiss Goodnight,1996,68,112,Fresh,1990
Code of Silence,1985,68,112,Fresh,1980
The Expendables 2,2012,68,112,Fresh,2010
Cliffhanger,1993,68,112,Fresh,1990
Independence Day,1996,68,112,Fresh,1990
Die Hard 2,1990,69,110,Fresh,1990
Highlander,1986,69,110,Fresh,1980
True Lies,1994,70,106,Fresh,1990
Point Break,1991,70,106,Fresh,1990
Machete,2010,70,106,Fresh,2010
Ronin,1998,70,106,Fresh,1990
The Fifth Element,1997,71,104,Fresh,1990
Wanted,2008,71,104,Fresh,2000
Starship Troopers,1997,72,103,Fresh,1990
Brotherhood of the Wolf,2001,73,101,Fresh,2000
Big Trouble in Little China,1986,73,101,Fresh,1980
Kingsman: The Secret Service,2014,75,99,Certified Fresh,2010
The Professional,1994,75,99,Certified Fresh,1990
Braveheart,1995,76,98,Certified Fresh,1990
Batman,1989,77,97,Certified Fresh,1980
Fast Five,2011,78,96,Certified Fresh,2010
Atomic Blonde,2017,79,94,Certified Fresh,2010
Air Force One,1997,79,94,Certified Fresh,1990
Gladiator,2000,80,90,Certified Fresh,2000
Dredd,2012,80,90,Certified Fresh,2010
Lethal Weapon,1987,80,90,Certified Fresh,1980
Predator,1987,80,90,Certified Fresh,1980
Rumble in the Bronx,1995,81,89,Certified Fresh,1990
Total Recall,1990,82,84,Certified Fresh,1990
Furious 7,2015,82,84,Certified Fresh,2010
District B13,2004,82,84,Certified Fresh,2000
Oldboy,2003,82,84,Certified Fresh,2000
Beverly Hills Cop,1984,82,84,Certified Fresh,1980
The Chinese Connection,1972,83,79,Certified Fresh,1970
The Raid 2,2014,83,79,Certified Fresh,2010
Under Siege,1992,83,79,Certified Fresh,1990
Heat,1995,83,79,Certified Fresh,1990
The Matrix,1999,83,79,Certified Fresh,1990
The Bourne Identity,2002,84,77,Certified Fresh,2000
Indiana Jones and the Last Crusade,1989,84,77,Certified Fresh,1980
Kill Bill: Vol. 1,2003,85,72,Certified Fresh,2000
Drunken Master II,1994,85,72,Certified Fresh,1990
Ong-Bak: The Thai Warrior,2003,85,72,Certified Fresh,2000
The Villainess,2017,85,72,Certified Fresh,2010
X2,2003,85,72,Certified Fresh,2000
Collateral,2004,86,67,Certified Fresh,2000
Ip Man,2008,86,67,Certified Fresh,2000
Escape From New York,1981,86,67,Certified Fresh,1980
First Blood,1982,86,67,Certified Fresh,1980
John Wick,2014,86,67,Certified Fresh,2010
Unstoppable,2010,87,63,Certified Fresh,2010
Inception,2010,87,63,Certified Fresh,2010
The Raid: Redemption,2011,87,63,Certified Fresh,2010
They Live,1988,87,63,Certified Fresh,1980
The Warriors,1979,88,59,Certified Fresh,1970
To Live and Die in L.A.,1985,88,59,Certified Fresh,1980
Enter the Dragon,1973,88,59,Certified Fresh,1970
Shaft,1971,88,59,Certified Fresh,1970
John Wick: Chapter 2,2017,89,55,Certified Fresh,2010
Dirty Harry,1971,89,55,Certified Fresh,1970
Minority Report,2002,89,55,Certified Fresh,2000
Full Contact,1992,89,55,Certified Fresh,1990
Captain America: The Winter Soldier,2014,90,51,Certified Fresh,2010
Captain America: Civil War,2016,90,51,Certified Fresh,2010
La Femme Nikita,1990,90,51,Certified Fresh,1990
Battle Royale,2000,90,51,Certified Fresh,2000
Hot Fuzz,2007,91,43,Certified Fresh,2000
Iron Monkey,1993,91,43,Certified Fresh,1990
El Mariachi,1992,91,43,Certified Fresh,1990
Terminator 2: Judgment Day,1991,91,43,Certified Fresh,1990
Kung Fu Hustle,2004,91,43,Certified Fresh,2000
Edge of Tomorrow,2014,91,43,Certified Fresh,2010
Elite Squad 2,2010,91,43,Certified Fresh,2010
Marvel's the Avengers,2012,91,43,Certified Fresh,2010
The Guest,2014,92,36,Certified Fresh,2010
The Bourne Ultimatum,2007,92,36,Certified Fresh,2000
The Night Comes for Us,2018,92,36,Certified Fresh,2010
Baby Driver,2017,92,36,Certified Fresh,2010
Hard-Boiled,1992,92,36,Certified Fresh,1990
RoboCop,1987,92,36,Certified Fresh,1980
Revenge,2017,92,36,Certified Fresh,2010
Mad Max 2: The Road Warrior,1981,93,25,Certified Fresh,1980
Raiders of the Lost Ark,1981,93,25,Certified Fresh,1980
Spider-Man 2,2004,93,25,Certified Fresh,2000
Drive,2011,93,25,Certified Fresh,2010
A Better Tomorrow,1986,93,25,Certified Fresh,1980
Logan,2017,93,25,Certified Fresh,2010
Wonder Woman,2017,93,25,Certified Fresh,2010
Police Story,1985,93,25,Certified Fresh,1980
Supercop,1992,93,25,Certified Fresh,1990
Superman: The Movie,1978,93,25,Certified Fresh,1970
Face/Off,1997,93,25,Certified Fresh,1990
Mission: Impossible - Ghost Protocol,2011,94,16,Certified Fresh,2010
Die Hard,1988,94,16,Certified Fresh,1980
Casino Royale,2006,94,16,Certified Fresh,2000
Iron Man,2008,94,16,Certified Fresh,2000
Aliens,1986,94,16,Certified Fresh,1980
The Dark Knight,2008,94,16,Certified Fresh,2000
Hero,2002,94,16,Certified Fresh,2000
Mission: Impossible Rogue Nation,2015,94,16,Certified Fresh,2010
Avengers: Endgame,2019,94,16,Certified Fresh,2010
Speed,1994,95,13,Certified Fresh,1990
The Killer,1989,95,13,Certified Fresh,1980
13 Assassins,2010,95,13,Certified Fresh,2010
Black Panther,2018,96,10,Certified Fresh,2010
Assault on Precinct 13,1976,96,10,Certified Fresh,1970
The Fugitive,1993,96,10,Certified Fresh,1990
A Touch of Zen,1971,97,7,Certified Fresh,1970
Mad Max: Fury Road,2015,97,7,Certified Fresh,2010
The French Connection,1971,97,7,Certified Fresh,1970
